year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,IVI,IVI_rank,IVI_grade
2021,중랑구,면목4동,중랑구_면목4동,19308.0,3826.0,1045,0.1981562046819971,0.2731312075274438,0.5124602409046232,0.42960392784387946,0.4710320843742513,83,A
2021,중랑구,면목5동,중랑구_면목5동,14897.0,2225.0,527,0.1493589313284554,0.23685393258426965,0.30416844049440567,0.37254395308616517,0.3383561967902854,280,D
2021,중랑구,면목본동,중랑구_면목본동,34188.0,6099.0,1889,0.17839592839592838,0.30972290539432695,0.42811324277609253,0.4871584536426569,0.45763584820937475,98,B
2021,중랑구,면목7동,중랑구_면목7동,22070.0,4315.0,1063,0.19551427276846398,0.24634994206257244,0.5011831199301766,0.38748008216365876,0.4443316010469177,115,B
2021,중랑구,면목3.8동,중랑구_면목3.8동,25154.0,5013.0,1443,0.19929235906814025,0.28785158587672055,0.5173099307821528,0.4527573873677674,0.4850336590749601,67,A
2021,중랑구,상봉1동,중랑구_상봉1동,24190.0,3796.0,958,0.156924348904506,0.2523709167544784,0.33646152450247574,0.3969503818064834,0.36670595315447957,237,C
2021,중랑구,상봉2동,중랑구_상봉2동,20647.0,3044.0,955,0.1474306194604543,0.31373193166885677,0.29593741603063434,0.49346419017843624,0.39470080310453526,193,C
2021,중랑구,중화1동,중랑구_중화1동,19784.0,3701.0,864,0.1870703598867772,0.23345041880572817,0.46514016720429624,0.3671906179584491,0.41616539258137264,149,B
2021,중랑구,중화2동,중랑구_중화2동,25315.0,5043.0,1676,0.1992099545723879,0.33234186000396587,0.5169581861127777,0.5227354637982867,0.5198468249555321,47,A
2021,중랑구,묵1동,중랑구_묵1동,34636.0,5945.0,1113,0.17164222196558493,0.1872161480235492,0.39928495842449974,0.2944694356782226,0.34687719705136116,268,D
2021,중랑구,묵2동,중랑구_묵2동,18946.0,3612.0,962,0.190647102290721,0.2663344407530454,0.48040753900032607,0.41891339661768506,0.4496604678090056,108,B
2021,중랑구,망우본동,중랑구_망우본동,32469.0,6205.0,1810,0.1911053620376359,0.29170024174053183,0.48236362673188593,0.4588108797203268,0.4705872532261064,84,A
2021,중랑구,망우3동,중랑구_망우3동,16698.0,3394.0,1106,0.2032578751946341,0.3258691809074838,0.5342367883046788,0.5125546851582543,0.5233957367314666,45,A
